Prompt,Noise_index,Noise,Distance,score,which_folder,cache,nocache,retrieve
Early morning; young slender caucasian male wizard walking on beach; geometric tattoos along arms; holding a wooden staff; shipwreck in the far background; auburn fox by his side; detailed facial features,24541,Early morning; young caucasian male wizard walking on beach; geometric tattoos along arms; spellbook in one hand; wooden staff slung on back,tensor(0.8646),0.8646,15,cache/cache_16_image.png,nocache/nocache_16_image.png,retrieve/retrieve_16_image.png
Pirateship converted to drag car,28705,A vehicle that combines a supercar and a fighter jet,tensor(0.8027),0.8027,15,cache/cache_19_image.png,nocache/nocache_19_image.png,retrieve/retrieve_19_image.png
The steampunk tiger of the future after genetic modification in the style of Van Gogh,9012,a Steampunk of thunder cats,tensor(0.7785),0.7785,10,cache/cache_21_image.png,nocache/nocache_21_image.png,retrieve/retrieve_21_image.png
"full body armored female paladin, giant sword, claymore",2187,bear knight paladin holding a sword,tensor(0.7503),0.7503,10,cache/cache_22_image.png,nocache/nocache_22_image.png,retrieve/retrieve_22_image.png
Old huge tree with branches turning into a Victorian gothic mansion sitting on top,28709,giant tree without leaves on a hill overgrown with ancient trees,tensor(0.7889),0.7889,10,cache/cache_24_image.png,nocache/nocache_24_image.png,retrieve/retrieve_24_image.png
athletic happy american blonde gym Girl,17090,"Woman, young, white, muscular. beautiful, good looking, blonde. in a gym",tensor(0.8066),0.8066,15,cache/cache_25_image.png,nocache/nocache_25_image.png,retrieve/retrieve_25_image.png
Mechanic dog vs alien cat fight on the moon,27091,astronaut playing fetch with dog on moon,tensor(0.8466),0.8466,15,cache/cache_27_image.png,nocache/nocache_27_image.png,retrieve/retrieve_27_image.png
tyrannosaurus skull head transparent blue,14625,"xenomorph alien skull, dark blue colours, h. r. tiger style, isolated background",tensor(0.7247),0.7247,10,cache/cache_28_image.png,nocache/nocache_28_image.png,retrieve/retrieve_28_image.png
"mechanical steampunk rhino wearing goggles and a top hat coloring page, white background, line art, no gray shade only simple black line, clear image",28654,"mechanical steampunk rhino sideways wearing goggles and a top hat, pipes and bricks in the backdrop, cinematic, smoke and dust, sparkles, god rays",tensor(0.7502),0.7502,10,cache/cache_30_image.png,nocache/nocache_30_image.png,retrieve/retrieve_30_image.png
"wooden sign warning, be aware of sea seal",7431,an old wood sign hanging off the end of an old rod,tensor(0.7458),0.7458,10,cache/cache_31_image.png,nocache/nocache_31_image.png,retrieve/retrieve_31_image.png
gentleman fishing beside a river with a white duck swimming behind his house,3209,"man fishing in a small pond, and not finding fishes",tensor(0.7854),0.7854,10,cache/cache_33_image.png,nocache/nocache_33_image.png,retrieve/retrieve_33_image.png
beach with lighthouse far,23421,the beach with the ocean,tensor(0.8808),0.8808,15,cache/cache_36_image.png,nocache/nocache_36_image.png,retrieve/retrieve_36_image.png
"dystopian era city, nature reclaiming earth, morning light, high resolution, somber",10101,dystopian city in ruins,tensor(0.8572),0.8572,15,cache/cache_37_image.png,nocache/nocache_37_image.png,retrieve/retrieve_37_image.png
a world coming out of the mouth of a girl,1050,A woman face without mouth and lips,tensor(0.8037),0.8037,15,cache/cache_38_image.png,nocache/nocache_38_image.png,retrieve/retrieve_38_image.png
A tall man walking with a shorter woman in a heavily wooded area with a lake in the foreground.,34150,a woman from her back walking with her friend separated through a peaceful park,tensor(0.7023),0.7023,10,cache/cache_42_image.png,nocache/nocache_42_image.png,retrieve/retrieve_42_image.png
"fashion photography portrait of caucasic female human avatar, in lush jungle with flowers and birds, 3d render, cgi, symetrical, octane render, 35mm, bokeh, 9:16, (intricate details:1.12), hdr, (intricate details, hyperdetailed:1.15), (natural skin texture, hyperrealism, soft light, sharp:1.2)",9066,"fashion photography portrait of young white caucasic female human avatar, in lush jungle with flowers and birds, 3d render, cgi, symetrical, octane render, 35mm, bokeh, 9:16, (intricate details:1.12), hdr, (intricate details, hyperdetailed:1.15), (natural skin texture, hyperrealism, soft light, sharp:1.2)",tensor(0.9818),0.9818,20,cache/cache_45_image.png,nocache/nocache_45_image.png,retrieve/retrieve_45_image.png
layered paper dragon breathing fire and smoke at night in the forest,34550,dragon in the old forrest at night,tensor(0.8072),0.8072,15,cache/cache_46_image.png,nocache/nocache_46_image.png,retrieve/retrieve_46_image.png
dystopian old gas car dramatic lighting vegetation neon sign,37930,neon signs in a street in a futuristic city,tensor(0.7388),0.7388,10,cache/cache_47_image.png,nocache/nocache_47_image.png,retrieve/retrieve_47_image.png
"photorealistic modern office, looking toward a large monitor on a desk with a keyboard and mouse, outside are some buildings with vegetation and trees",33985,"an ultra realistic 3D rendering of a modern real estate office. The environment should balance comfort for clients and a technological workspace for real estate agents. Video Conference System: The office should feature a high-quality video conference system, including a large flat-screen TV/projector with built-in camera and speakers, mounted on a wall. Client Area: Opposite the video conference system, design a comfortable modern sofa for clients. The sofa should have a clean, contemporary design in green. Colors and Style: The office should have a modern design with a predominantly blue and green color scheme. Use materials like glass and steel to emphasize the modern look of the office. Lighting: Use high-quality LED lights with a modern design. The lighting should be bright enough for clients and real estate agents to appear clearly during video conferences. Additional Details: Include elements that reinforce the identity of a real estate agency, such as a wall map of available properties",tensor(0.7363),0.7363,10,cache/cache_49_image.png,nocache/nocache_49_image.png,retrieve/retrieve_49_image.png
"Mechanical and electrical works , Saudia Arabia, Men, working, Panner",35112,"Sustainable Facility management, realistic image, United arab emirates, water conservation, electricity conservation",tensor(0.7020),0.702,10,cache/cache_53_image.png,nocache/nocache_53_image.png,retrieve/retrieve_53_image.png
magical golden forest with sparkles and flowers,3455,"magic forest,magic flowers,meadow,sun",tensor(0.7569),0.7569,10,cache/cache_54_image.png,nocache/nocache_54_image.png,retrieve/retrieve_54_image.png
whole portraitface of a white women with dark hair and clear eys in the garden befor a tree with Bokeh,30029,face of white girl in trees,tensor(0.7239),0.7239,10,cache/cache_56_image.png,nocache/nocache_56_image.png,retrieve/retrieve_56_image.png
"habitable house with planet earth and a heart, temperature is pleasant, not too hot or cold, and the sunlight filters through the trees, creating a beautiful dappled effect",11724,mystical smart home in a tree with solar panels in the future,tensor(0.7044),0.7044,10,cache/cache_59_image.png,nocache/nocache_59_image.png,retrieve/retrieve_59_image.png
colourful mountain chicken with long tail colourful wings action image,29270,close up bird,tensor(0.7681),0.7681,10,cache/cache_60_image.png,nocache/nocache_60_image.png,retrieve/retrieve_60_image.png
"Balloons, Decor, Cloud, white theme , fur, white floor, wide Room, soft toys, teddy bear, cake,calander ,studio backdrop, window, Fur",84,"paper Cloud ,Blue theme , fur, white floor, wide Room, soft toys, teddy bear, calander ,studio backdrop, white floor, texture",tensor(0.8138),0.8138,15,cache/cache_61_image.png,nocache/nocache_61_image.png,retrieve/retrieve_61_image.png
pool tree hotel palm sunbed hotel,8393,Beautiful hotel poolside,tensor(0.8463),0.8463,15,cache/cache_62_image.png,nocache/nocache_62_image.png,retrieve/retrieve_62_image.png
Boy and girl kiss,42,husband and wife kissing,tensor(0.9153),0.9153,20,cache/cache_64_image.png,nocache/nocache_64_image.png,retrieve/retrieve_64_image.png
scuderia ferrari,11366,realistic 2030 new futuristic Ferrari car launch show,tensor(0.7118),0.7118,10,cache/cache_66_image.png,nocache/nocache_66_image.png,retrieve/retrieve_66_image.png
"wolf-like human being, female, full body",30014,the wolf looms over the woman. She looks at the wolf in fear.,tensor(0.7814),0.7814,10,cache/cache_67_image.png,nocache/nocache_67_image.png,retrieve/retrieve_67_image.png
ancient indian king and magical kingdom,27260,historic indian temples,tensor(0.8364),0.8364,15,cache/cache_68_image.png,nocache/nocache_68_image.png,retrieve/retrieve_68_image.png
"impressionism, spring day at the city",8136,"impressionism,sunrise in the city",tensor(0.8698),0.8698,15,cache/cache_69_image.png,nocache/nocache_69_image.png,retrieve/retrieve_69_image.png
"Ultra HD, Cat wearing a sun hat, with nose piercing, modelling in a studio",28514,"Ultra HD, Cat wearing a yellow beanie wearing sunglasses, eating wraps, modelling in a studio",tensor(0.7039),0.7039,10,cache/cache_70_image.png,nocache/nocache_70_image.png,retrieve/retrieve_70_image.png
A techno octopus in a club,6146,octopus god at the bottom of the dark ocean,tensor(0.8039),0.8039,15,cache/cache_73_image.png,nocache/nocache_73_image.png,retrieve/retrieve_73_image.png
A photo of a German shepherd with lightbrown ears sitting in the park. taken from a distance on a sony a7iii with a sigma lens 24-70mm F2.8.,11921,German shepherd sitting looking at the camera with paws firmly planted on the ground,tensor(0.7527),0.7527,10,cache/cache_74_image.png,nocache/nocache_74_image.png,retrieve/retrieve_74_image.png
vector baby unicorn on white background,26724,"unicorn, vector style, white background",tensor(0.9163),0.9163,20,cache/cache_75_image.png,nocache/nocache_75_image.png,retrieve/retrieve_75_image.png
"man facing towards a ancient city, form about the roman age that has dark colours and look hyper realistic, a few people are in the foreground",14373,male roman standing on a cliff looking over a valley,tensor(0.7371),0.7371,10,cache/cache_77_image.png,nocache/nocache_77_image.png,retrieve/retrieve_77_image.png
Kittens are doing their taxes in a dark office. Digital art,32998,"tired kitten coding on a computer, photo realistic, high resolution, highly detailed, background is a retro office",tensor(0.7047),0.7047,10,cache/cache_78_image.png,nocache/nocache_78_image.png,retrieve/retrieve_78_image.png
cat dragon,18313,Dragon animal,tensor(0.8881),0.8881,15,cache/cache_79_image.png,nocache/nocache_79_image.png,retrieve/retrieve_79_image.png
Mysterious Airplane roaming the city streets,22108,"bus running on the city road, reality",tensor(0.7829),0.7829,10,cache/cache_81_image.png,nocache/nocache_81_image.png,retrieve/retrieve_81_image.png
"A reflective white android with a hero pose, has orange neon lights, his hand is in a stop position, dark blue background, hyper-realistic, cinematic",27905,"A white android with superhero posture, has orange neon lights, his hand is in a stop position",tensor(0.8407),0.8407,15,cache/cache_83_image.png,nocache/nocache_83_image.png,retrieve/retrieve_83_image.png
"Build a kingdom of french fries, cinematic lighting, epic scene, high detail, 8k",27557,"Ocean fantasy in a burger, cinematic, octane render, glow",tensor(0.7163),0.7163,10,cache/cache_84_image.png,nocache/nocache_84_image.png,retrieve/retrieve_84_image.png
garden with bushes and trees at night,5780,Forest at night,tensor(0.8262),0.8262,15,cache/cache_85_image.png,nocache/nocache_85_image.png,retrieve/retrieve_85_image.png
ilustration of a dog looking hungry at a hamburger,19027,cute dog burger,tensor(0.8531),0.8531,15,cache/cache_86_image.png,nocache/nocache_86_image.png,retrieve/retrieve_86_image.png
women holding sausages and laughing,32731,40 year old women talking and laughing,tensor(0.7232),0.7232,10,cache/cache_87_image.png,nocache/nocache_87_image.png,retrieve/retrieve_87_image.png
wide shot exploring crystal rock formations with jellyfish growth and fungal infections and bulbous lichen and moss growth on top of fungi and bubbly moss and tentacles protruding outwards. Add in slime molds and lichen and more fungi on top. Then add sharp crystals growing outward like tentacles. A giant turtle is exploring this,3269,"exploring bonsai crystal rock formations with jellyfish growth and fungal infections and bulbous lichen and moss growth on top of fungi and bubbly moss and tentacles protruding outwards. Add in slime molds and lichen and more fungi on top. Then add sharp mushroom crystals growing outward like tentacles. A jellyfish blob of lotus roots is exploring this during sunset in a lush bush of enoki mushrooms, chanterelles, lion's mane, lily bulbs, lotus root, bonsai, tree roots. glowing tentacles growing out of ground. all this is on a mini floating ball planet. fuzzy hairs growing everywhere",tensor(0.8439),0.8439,15,cache/cache_88_image.png,nocache/nocache_88_image.png,retrieve/retrieve_88_image.png
FLYING WOMAN AVATAR WITH HOLOGRAPHIC WINGS,19792,A 3D RENDER OF GAMING BEAUTIFUL WOMAN WITH HOLOGRAPHIC WINGS,tensor(0.8376),0.8376,15,cache/cache_90_image.png,nocache/nocache_90_image.png,retrieve/retrieve_90_image.png
Disney Pixar cartoon style adorable tree frog in the rain holding an umbrella night scene high detailed,10646,Cute frog dancing in the rain,tensor(0.7744),0.7744,10,cache/cache_91_image.png,nocache/nocache_91_image.png,retrieve/retrieve_91_image.png
train in the jungle without tracks,18668,a forest with trains,tensor(0.8367),0.8367,15,cache/cache_93_image.png,nocache/nocache_93_image.png,retrieve/retrieve_93_image.png
orange superhero,25452,a muscular male superhero wearing fluorescent orange,tensor(0.8046),0.8046,15,cache/cache_95_image.png,nocache/nocache_95_image.png,retrieve/retrieve_95_image.png
robot girl future ciber punk looking down anime darkness,7378,sleek female robot portrait science fiction concept art,tensor(0.7788),0.7788,10,cache/cache_97_image.png,nocache/nocache_97_image.png,retrieve/retrieve_97_image.png
2 aliens on the earh moon with starship,842,landing alien ship in moon,tensor(0.8733),0.8733,15,cache/cache_99_image.png,nocache/nocache_99_image.png,retrieve/retrieve_99_image.png
A hammer and an anvil.,20942,board with an axe through it,tensor(0.7600),0.76,10,cache/cache_101_image.png,nocache/nocache_101_image.png,retrieve/retrieve_101_image.png
Plus sized Chinese female warriors with huge chest who Show off full body,25573,A Plus sized female warrior with big chest tiny uplift,tensor(0.8188),0.8188,15,cache/cache_102_image.png,nocache/nocache_102_image.png,retrieve/retrieve_102_image.png
focus on withe man and black woman with big lips eat,1857,young people tasting food and drinks together,tensor(0.7767),0.7767,10,cache/cache_103_image.png,nocache/nocache_103_image.png,retrieve/retrieve_103_image.png
"old ancient book which has the letters ""ABC"" in its cover",14126,an old bible,tensor(0.7139),0.7139,10,cache/cache_104_image.png,nocache/nocache_104_image.png,retrieve/retrieve_104_image.png
"rocking cat with leopard-likely furr, cyberpunk",840,"rocking male cat with leopard-likely furr, cyberpunk",tensor(0.9650),0.965,20,cache/cache_105_image.png,nocache/nocache_105_image.png,retrieve/retrieve_105_image.png
a pineapple wearing headphones and sunglasses on a white background,12524,a pineapple wearing a headphone enjoying the sun at the beach,tensor(0.8665),0.8665,15,cache/cache_106_image.png,nocache/nocache_106_image.png,retrieve/retrieve_106_image.png
sea serpent monster underwater,30834,"giant sea monster, highly detailed, horror, gothic, underwater, thalassophobia",tensor(0.8226),0.8226,15,cache/cache_107_image.png,nocache/nocache_107_image.png,retrieve/retrieve_107_image.png
"Give me a photo of a total of 5 strangers, on a big train. They are all sitting in different seats and not paying attention to each other. Three are men and two are women.",9827,"A figure, riding alone on a train, leaning head on the window, Extreme detail, Cinematic lighting, Soft touch, High resolution",tensor(0.7429),0.7429,10,cache/cache_112_image.png,nocache/nocache_112_image.png,retrieve/retrieve_112_image.png
"diverse humans, futuristic body, intricate detail, cinematic, maximum realistic, unreal engine, authentic colors.",14299,"experimental human machine in the future, cinematic lighting",tensor(0.7940),0.794,10,cache/cache_113_image.png,nocache/nocache_113_image.png,retrieve/retrieve_113_image.png
"COMMERCE, FACADE",36897,city buildings,tensor(0.8311),0.8311,15,cache/cache_114_image.png,nocache/nocache_114_image.png,retrieve/retrieve_114_image.png
a cat as spider-man,16709,a cat dressed up as a super hero,tensor(0.8342),0.8342,15,cache/cache_117_image.png,nocache/nocache_117_image.png,retrieve/retrieve_117_image.png
"sheep portrait watercolor with splatters, creative",4112,"a sheep illustration outline, poster",tensor(0.7688),0.7688,10,cache/cache_119_image.png,nocache/nocache_119_image.png,retrieve/retrieve_119_image.png
a minimal 3D object for time with the colors black and cyan with glass diamond effect,21430,light blue diamond vector illustration,tensor(0.7157),0.7157,10,cache/cache_120_image.png,nocache/nocache_120_image.png,retrieve/retrieve_120_image.png
"A Honey Bee in a magical grove, collecting Honey. Extremely detailed",7194,"Beautiful flowers and a butterfly in a magical grove, extremely detailed",tensor(0.7329),0.7329,10,cache/cache_121_image.png,nocache/nocache_121_image.png,retrieve/retrieve_121_image.png
Generate a cheerful image of a caterpillar looking into a mirror and seeing a butterfly.,560,"A split-screen image of a caterpillar crawling on one side, and a butterfly soaring on the other",tensor(0.7887),0.7887,10,cache/cache_122_image.png,nocache/nocache_122_image.png,retrieve/retrieve_122_image.png
"small glass tube with two blue glowing crystals and intricate steampunk mechanisms, rough wooden table background",10991,"small glass tube with blue glowing crystal and intricate steampunk mechanism, metal caps on both ends with wires, rough wooden table background, reinforced with riveted metal",tensor(0.8917),0.8917,15,cache/cache_124_image.png,nocache/nocache_124_image.png,retrieve/retrieve_124_image.png
"a virtual networking event, with attendees connecting with each other in breakout sessions and interactive activities. The screen shows a virtual lounge or a chat room, where attendees can mingle and exchange ideas.",22082,a retail team participating in a virtual learning event in a restaurant,tensor(0.7950),0.795,10,cache/cache_126_image.png,nocache/nocache_126_image.png,retrieve/retrieve_126_image.png
"hyper-realistic, cinematic smooth, cinematic sharp, intricate detail, intricate skyscraper large city with elevated railways and with spaceports and spaceships within giant glass dome, spiral galaxy backdrop, seen from space, matinee-like sci-fi, impressive, shining metal, big scope, everything is huge, dramatic",23375,"hyper-realistic, cinematic smooth, cinematic sharp, intricate detail, realistic texture, vibrant, floating spaceport city spaceship dramatic aztec art style, impressive cinematic, massive giant structures, hard angles.",tensor(0.7215),0.7215,10,cache/cache_127_image.png,nocache/nocache_127_image.png,retrieve/retrieve_127_image.png
a mushroom creature dj in a forrest party,29986,a ugly fungus monster in a forest,tensor(0.7973),0.7973,10,cache/cache_129_image.png,nocache/nocache_129_image.png,retrieve/retrieve_129_image.png
Misty beautiful forest,4463,Moody fog weather forest,tensor(0.8485),0.8485,15,cache/cache_131_image.png,nocache/nocache_131_image.png,retrieve/retrieve_131_image.png
Simple Lite Sketch Style of African mask,16303,"ornate african mask, dragon, flames, thin wispy smoke in the background",tensor(0.7404),0.7404,10,cache/cache_133_image.png,nocache/nocache_133_image.png,retrieve/retrieve_133_image.png
Drone image of Maldives with coconut palm tree,9679,"A luxurious modern villa with a sea view, located on a private island with white sandy beaches, turquoise waters, and swaying palm trees, capturing a sense of exclusivity and indulgence, Photography, shot with a drone to showcase the villa's isolation",tensor(0.7362),0.7362,10,cache/cache_135_image.png,nocache/nocache_135_image.png,retrieve/retrieve_135_image.png
Senate in hell flames,7242,demons in hell playing n the flames,tensor(0.8194),0.8194,15,cache/cache_136_image.png,nocache/nocache_136_image.png,retrieve/retrieve_136_image.png
"a cloaked humanoid levitating in a forest on fire , gloomy, Intense",37752,spooky slender caucasian man levitating peacefully in a forest,tensor(0.7590),0.759,10,cache/cache_138_image.png,nocache/nocache_138_image.png,retrieve/retrieve_138_image.png
A man with a lemur on his shoulder rides a wakeboard,8233,A cable Wakeboarder doing a frontroll from the kicker,tensor(0.7881),0.7881,10,cache/cache_141_image.png,nocache/nocache_141_image.png,retrieve/retrieve_141_image.png
a friendly spaceship shaped like a blimp flying through a nebula,4581,an egg spaceship floating in space,tensor(0.8075),0.8075,15,cache/cache_142_image.png,nocache/nocache_142_image.png,retrieve/retrieve_142_image.png
rat with birthday hat eating a piece of cake,12172,small cute mouse in a witch hat eating a piece of birthday cake,tensor(0.8763),0.8763,15,cache/cache_144_image.png,nocache/nocache_144_image.png,retrieve/retrieve_144_image.png
"Beautiful Thai girl wearing,\xa0Tight\xa0-\xa0fitting evening dress,\xa0thin,\xa0constricted,\xa0has a little belly,\xa0taken in the shop,\xa0bright skin,\xa0charming eyes,\xa0Photo,\xa0Instagram,\xa0full body,\xa0lens,\xa08K,\xa085mm,\xa0realistic,\xa0cinema",35041,"Photography Thai teen girl , cute girl, no shirt, no pants, catsuit, room",tensor(0.7633),0.7633,10,cache/cache_145_image.png,nocache/nocache_145_image.png,retrieve/retrieve_145_image.png
A Siamese cat wearing a crown on a throne,23848,Kitty Cat dressed as queen of the world standing on the throne,tensor(0.8059),0.8059,15,cache/cache_147_image.png,nocache/nocache_147_image.png,retrieve/retrieve_147_image.png
"bali bamboo house in the jungle of indonesia, with bali swing and surfboard",16386,small tree house with a patio in the jungle,tensor(0.7131),0.7131,10,cache/cache_150_image.png,nocache/nocache_150_image.png,retrieve/retrieve_150_image.png
"A forest, at nignt, eyes in the dark, Dordogne game backgrounds style",37977,"Forest at night with, only dark color",tensor(0.7238),0.7238,10,cache/cache_151_image.png,nocache/nocache_151_image.png,retrieve/retrieve_151_image.png
40 year old man tank top confident,32606,a happy looking middle aged man,tensor(0.7533),0.7533,10,cache/cache_152_image.png,nocache/nocache_152_image.png,retrieve/retrieve_152_image.png
classical masterpieces,37260,Max music playlist,tensor(0.7916),0.7916,10,cache/cache_154_image.png,nocache/nocache_154_image.png,retrieve/retrieve_154_image.png
"punk style illustration,covering entire wall with elements of the genre",9418,texture with colorful drawings,tensor(0.7818),0.7818,10,cache/cache_155_image.png,nocache/nocache_155_image.png,retrieve/retrieve_155_image.png
"peace, dream sky, meteor, wishes, lighthouse",7583,"paradise, nature, heavens of heavens, light, clouds",tensor(0.7391),0.7391,10,cache/cache_159_image.png,nocache/nocache_159_image.png,retrieve/retrieve_159_image.png
calico cat made of loose wool on a fluffy pillow,16158,Gray and white cat laying on a bed,tensor(0.7003),0.7003,10,cache/cache_161_image.png,nocache/nocache_161_image.png,retrieve/retrieve_161_image.png
